Name	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700
04F_ow	55.05	56.24	55.56	54.31	52.88	50.83	48.7	46.06	43.23	41.32	39.65	37.48	35.76	36.02	36.9	35.97	34.4	35.95	42.77	52.67	62.63	70.86	76.17	79.77	82.42	84.1	85.29	86.05	86.75	87.06	87.49
04F_w	50.83	69.35	75.64	78.01	79.56	80.69	81.84	82.63	83.41	83.95	84.52	84.67	84.68	84.67	84.58	84.39	84.13	83.95	83.97	84.06	84.08	84.38	84.93	85.58	86.36	86.95	87.45	87.71	88.02	88.03	88.14
05A_b	5.18	5.17	5.1	5.08	5.05	5.04	5.03	5.0	4.97	4.97	4.96	4.95	4.94	4.91	4.91	4.91	4.92	4.93	4.96	4.96	4.94	4.97	4.96	4.98	4.97	4.97	4.98	4.96	5.0	4.97	5.0
05A_ob	5.1	5.2	5.03	5.07	5.14	5.14	5.17	5.13	5.14	5.16	5.17	5.13	5.25	5.4	5.84	7.84	14.98	28.38	44.52	57.19	64.08	68.52	70.68	72.32	73.66	74.61	75.56	76.13	76.85	77.45	77.94
05A_ow	5.12	5.21	5.07	5.07	5.16	5.17	5.18	5.15	5.16	5.16	5.17	5.13	5.25	5.41	5.84	7.79	14.83	28.22	44.46	57.32	64.55	69.21	71.86	73.8	75.56	76.83	78.3	79.25	80.31	81.23	82.14
05A_w	51.82	70.39	76.28	78.41	79.91	80.97	82.0	82.7	83.52	83.95	84.53	84.69	84.78	84.7	84.86	84.75	84.56	84.33	84.38	84.55	84.55	84.86	85.22	85.81	86.5	87.02	87.56	87.86	88.08	88.06	88.33
05B_b	5.24	5.23	5.16	5.13	5.12	5.09	5.09	5.05	5.03	5.02	5.01	5.0	4.99	4.96	4.96	4.96	4.96	4.98	5.0	5.01	4.99	5.01	5.02	5.03	5.03	5.03	5.02	5.01	5.05	5.04	5.07
05B_ob	46.46	46.09	45.02	44.08	43.11	42.15	41.41	40.45	39.72	39.09	38.38	37.78	37.41	37.31	38.49	43.33	53.61	64.11	69.88	71.44	71.44	71.61	71.19	70.77	70.46	69.89	69.56	68.91	68.61	68.07	67.67
05B_ow	46.41	46.16	44.98	44.08	43.13	42.17	41.4	40.47	39.72	39.07	38.38	37.78	37.45	37.34	38.51	43.33	54.53	68.72	79.48	84.2	85.58	86.58	87.09	87.64	88.28	88.55	89.05	89.2	89.37	89.38	89.51
05B_w	52.99	70.73	76.22	78.61	80.08	81.31	82.49	83.27	83.96	84.5	85.12	85.18	85.26	85.11	85.09	84.96	84.66	84.38	84.42	84.49	84.53	84.94	85.46	86.19	86.9	87.56	88.08	88.39	88.64	88.56	88.72
05C_b	5.22	5.21	5.14	5.11	5.09	5.05	5.07	5.03	5.0	4.99	4.97	4.96	4.96	4.93	4.92	4.92	4.93	4.95	4.97	4.97	4.95	4.97	4.96	4.97	4.97	4.96	4.96	4.94	4.97	4.95	4.99
05C_ob	18.07	17.05	16.07	15.38	14.84	14.31	13.87	13.4	13.04	12.75	12.44	12.16	12.08	12.17	12.98	16.5	26.64	42.32	57.24	65.42	68.11	69.48	69.71	69.88	69.94	69.88	69.75	69.51	69.53	69.28	69.16
05C_ow	18.05	17.09	16.09	15.4	14.9	14.34	13.9	13.44	13.07	12.78	12.48	12.18	12.11	12.2	13.01	16.54	26.55	42.4	59.31	70.97	76.49	79.53	81.11	82.34	83.49	84.31	85.16	85.71	86.38	86.64	87.05
05C_w	51.13	69.47	75.59	77.87	79.48	80.64	81.81	82.44	83.3	83.89	84.37	84.58	84.64	84.56	84.56	84.44	84.17	83.94	83.96	84.09	84.11	84.56	85.02	85.72	86.49	87.0	87.56	87.81	88.08	88.08	88.22
05D_b	5.24	5.23	5.15	5.14	5.1	5.08	5.08	5.05	5.02	5.03	5.0	5.0	4.99	4.95	4.96	4.96	4.97	4.97	5.0	5.02	4.99	5.01	5.01	5.03	5.01	5.01	5.03	5.03	5.05	5.03	5.07
05D_ob	5.51	5.55	5.45	5.42	5.5	5.47	5.47	5.42	5.42	5.42	5.43	5.41	5.5	5.64	6.13	8.3	15.58	28.42	41.74	49.31	51.83	53.29	53.77	53.99	54.32	54.35	54.54	54.4	54.67	54.6	54.63
05D_ow	5.47	5.58	5.41	5.42	5.49	5.48	5.47	5.42	5.42	5.42	5.43	5.39	5.5	5.65	6.13	8.25	15.44	28.65	44.48	55.85	61.2	64.23	65.75	66.89	67.97	68.81	69.61	70.03	70.77	71.13	71.55
05D_w	52.84	70.29	75.94	78.17	79.86	81.02	82.27	82.94	83.85	84.42	84.87	85.11	85.16	85.08	85.11	84.89	84.64	84.42	84.41	84.58	84.54	85.02	85.56	86.19	86.99	87.61	88.08	88.36	88.66	88.56	88.8
05E_b	5.21	5.21	5.12	5.1	5.09	5.04	5.05	5.02	4.99	4.99	4.97	4.96	4.94	4.92	4.92	4.91	4.92	4.93	4.96	4.96	4.93	4.96	4.96	4.97	4.96	4.95	4.95	4.94	4.97	4.95	5.0
